,Treatment,LineCrosses,Active,TimetoReact,ReactionType,InkDischarge,BodyPattern,field8,field9,field10,field11,field12
0,Control,0,rest,n/a,n/a,n/a,n/a,,,,,
1,Control,0,rest,n/a,n/a,n/a,n/a,,,,,
2,Control,65,high activity,n/a,n/a,n/a,n/a,,,,,
3,Control,0,rest,n/a,n/a,n/a,n/a,,,,,
4,Control,0,rest,n/a,n/a,n/a,n/a,,,,,
5,Control,136,high activity,n/a,n/a,n/a,n/a,,,,,
6,Control,0,rest,0.53333333,defence,no,deimatic,,,,,
7,Control,0,rest,0.1333333,jet,no,no change,,,,,
8,Control,0,rest,0.16666667,jet,no,no change,,,,,
9,Control,0,rest,1.1,jet,no,no change,,,,,
10,Control,0,rest,n/a,n/a,n/a,n/a,,,,,
11,Control,4,low activity,n/a,n/a,no,deimatic,,,,,
12,Control,0,rest,0.56666667,defence,yes,no change,,,,,
13,Control,0,rest,0.46666667,defence,no,deimatic,,,,,
14,Control,0,rest,n/a,n/a,no,no change,,,,,
15,Control,0,rest,0.3,defence,no,deimatic,,,,,
16,Control,0,rest,0.16666667,jet,yes,no change,,,,,
17,Control,0,rest,n/a,n/a,no,no change,,,,,
18,Control,0,rest,0.5,jet,no,no change,,,,,
19,Control,0,rest,0.53333333,defence,no,deimatic,,,,,
20,Control,0,rest,0.63333333,defence,no,deimatic,,,,,
21,Control,4,low activity,0.16666667,jet,no,transparent,,,,,
22,Control,0,rest,0.4,jet,yes,transparent,,,,,
23,Control,0,rest,0.1,jet,yes,transparent,,,,,
24,Control,0,rest,0.46666667,jet,yes,transparent,,,,,
25,Control,0,rest,0.23333333,defence,no,no change,,,,,
26,Control,66,high activity,0.66666667,defence,no,deimatic,,,,,
27,Control,0,rest,0.5,defence,no,deimatic,,,,,
28,Control,0,rest,0.36666667,defence,no,deimatic,,,,,
29,Control,0,rest,n/a,n/a,n/a,n/a,,,,,
30,Control,6,low activity,0.3,jet,yes,transparent,,,,,
31,Mid,369,high activity,n/a,n/a,n/a,n/a,,,,,
32,Mid,27,high activity,n/a,n/a,n/a,n/a,,,,,
33,Mid,0,rest,n/a,n/a,n/a,n/a,,,,,
34,Mid,38,high activity,1.933333333,jet,no,no change,,,,,
35,Mid,0,rest,0.4,defence,no,deimatic,,,,,
36,Mid,350,high activity,0.7333333,jet,yes,no change,,,,,
37,Mid,0,rest,0.56666667,jet,no,transparent,,,,,
38,Mid,0,rest,0.33333333,defence,no,deimatic,,,,,
39,Mid,0,rest,0.76666667,jet,no,no change,,,,,
40,Mid,348,high activity,n/a,n/a,no,no change,,,,,
41,Mid,33,high activity,0.26666667,jet,yes,transparent,,,,,
42,Mid,0,rest,0.23333333,jet,yes,no change,,,,,
43,Mid,0,rest,0.9,jet,yes,no change,,,,,
44,Mid,0,rest,0.5,jet,yes,transparent,,,,,
45,Mid,0,rest,0.46666667,jet,no,transparent,,,,,
46,Mid,0,rest,n/a,n/a,no,no change,,,,,
47,Mid,204,high activity,0.3,jet,yes,no change,,,,,
48,Mid,0,rest,n/a,n/a,no,no change,,,,,
49,Mid,0,rest,0.33333333,jet,no,deimatic,,,,,
50,Mid,0,rest,n/a,n/a,no,no change,,,,,
51,Mid,25,low activity,0.76666667,jet,yes,deimatic,,,,,
52,Mid,51,high activity,n/a,n/a,n/a,n/a,,,,,
53,Mid,0,rest,0.5333333,jet,yes,transparent,,,,,
54,Mid,0,rest,n/a,n/a,n/a,n/a,,,,,
55,Mid,12,low activity,0.5,jet,yes,transparent,,,,,
56,Mid,8,low activity,0.56666667,jet,yes,transparent,,,,,
57,Mid,172,high activity,0.8,jet,yes,transparent,,,,,
58,High,49,high activity,n/a,n/a,n/a,n/a,,,,,
59,High,79,high activity,n/a,n/a,n/a,n/a,,,,,
60,High,119,high activity,n/a,n/a,n/a,n/a,,,,,
61,High,0,rest,n/a,n/a,n/a,n/a,,,,,
62,High,137,high activity,n/a,n/a,n/a,n/a,,,,,
63,High,102,high activity,n/a,n/a,n/a,n/a,,,,,
64,High,0,rest,n/a,n/a,n/a,no change,,,,,
65,High,445,high activity,n/a,n/a,n/a,no change,,,,,
66,High,0,rest,0.066666667,jet,no,no change,,,,,
67,High,117,high activity,0.8,defence,no,no change,,,,,
68,High,0,rest,0.5,jet,yes,no change,,,,,
69,High,0,rest,n/a,n/a,no,flash,,,,,
70,High,0,rest,n/a,n/a,no,flash,,,,,
71,High,0,rest,0.33333333,jet,yes,transparent,,,,,
72,High,67,high activity,0.2,jet,yes,transparent,,,,,
73,High,0,rest,0.3,jet,yes,no change,,,,,
74,High,0,rest,1.13333333,defence,no,transparent,,,,,
75,High,0,rest,n/a,n/a,no,no change,,,,,
76,High,0,rest,0.26666667,jet,yes,no change,,,,,
77,High,0,rest,0.36666667,jet,no,n/a,,,,,
78,High,0,rest,0.36666667,jet,yes,transparent,,,,,
79,High,35,high activity,n/a,n/a,n/a,deimatic,,,,,
80,High,0,rest,n/a,jet,yes,flash,,,,,
81,High,0,rest,0.4333333,jet,yes,flash,,,,,
82,High,48,high activity,0.46666667,jet,yes,transparent,,,,,
83,High,0,rest,0.53333333,jet,yes,n/a,,,,,
84,High,0,rest,0.26666667,jet,yes,n/a,,,,,
85,High,0,rest,0.53333333,jet,yes,no change,,,,,
86,High,287,high activity,0.5,defence,no,no change,,,,,
